Roll_Radians,Pitch_Radians,Yaw_Radians,Latitude,Longitude,Acc_Net,Altitude,Voltage,System_State
1.375,-0.208,-2.232,0.0,0.0,1.264,455.364,0.206,0
1.573,-0.342,-2.297,0.0,0.0,1.362,455.34,0.206,0
1.582,-0.444,-2.287,0.0,0.0,1.487,455.319,0.206,0
1.513,-0.467,-2.255,0.0,0.0,1.209,455.356,0.206,0
1.474,-0.495,-2.268,0.0,0.0,1.405,455.338,0.206,0
1.417,-0.514,-2.183,0.0,0.0,1.255,455.396,0.206,0
1.304,-0.457,-2.103,0.0,0.0,1.297,455.435,0.206,0
1.269,-0.357,-2.089,0.0,0.0,1.237,455.466,0.206,0
1.279,-0.312,-2.034,0.0,0.0,1.206,455.536,0.206,0
1.306,-0.216,-1.944,0.0,0.0,1.077,455.527,0.206,0
1.303,-0.107,-1.86,0.0,0.0,0.993,455.552,0.206,0
1.198,-0.062,-1.763,0.0,0.0,1.118,455.564,0.206,0
0.993,-0.01,-1.699,0.0,0.0,1.052,455.577,0.206,0
0.785,0.022,-1.64,0.0,0.0,1.273,455.574,0.206,0
0.648,-0.02,-1.671,0.0,0.0,1.222,455.556,0.206,0
0.596,-0.113,-1.743,0.0,0.0,1.428,455.53,0.206,0
0.883,-0.35,-1.827,0.0,0.0,1.474,455.494,0.206,0
1.365,-0.623,-1.94,0.0,0.0,1.542,455.53,0.217,0
1.497,-0.882,-1.947,0.0,0.0,1.51,455.511,0.206,0
1.23,-1.126,-1.652,0.0,0.0,1.427,455.461,0.206,0
0.814,-0.977,-1.543,0.0,0.0,1.423,455.476,0.206,0
0.619,-0.73,-1.919,0.0,0.0,1.248,455.477,0.206,0
0.319,-0.6,-2.122,0.0,0.0,1.526,455.497,0.206,0
0.508,-0.68,-2.18,0.0,0.0,1.405,455.477,0.206,0
0.97,-0.879,-2.221,0.0,0.0,1.241,455.478,0.206,0
1.457,-1.097,-2.387,0.0,0.0,1.275,455.468,0.206,0
1.933,-1.263,-2.727,0.0,0.0,1.38,455.475,0.206,0
2.084,-1.301,-2.901,0.0,0.0,1.243,455.49,0.206,0
2.004,-1.337,-2.886,0.0,0.0,1.226,455.437,0.206,0
2.064,-1.381,-3.022,0.0,0.0,1.287,455.505,0.206,0
1.893,-1.357,-2.956,0.0,0.0,1.31,455.503,0.206,0
1.767,-1.312,-2.94,0.0,0.0,1.31,455.487,0.206,0
1.663,-1.268,-2.901,0.0,0.0,1.243,455.482,0.206,0
1.704,-1.25,-2.955,0.0,0.0,1.265,455.488,0.196,0
1.826,-1.239,-3.08,0.0,0.0,1.367,455.455,0.206,0
1.948,-1.227,3.071,0.0,0.0,1.361,455.461,0.206,0
2.012,-1.225,2.989,0.0,0.0,1.327,455.429,0.206,0
2.035,-1.228,2.948,0.0,0.0,1.39,455.416,0.206,0
2.027,-1.224,2.955,0.0,0.0,1.434,455.405,0.206,0
2.029,-1.212,2.949,0.0,0.0,1.264,455.398,0.206,0
2.034,-1.214,2.943,0.0,0.0,1.37,455.393,0.206,0
2.028,-1.211,2.951,0.0,0.0,1.445,455.386,0.206,0
2.028,-1.238,2.979,0.0,0.0,1.361,455.374,0.206,0
1.973,-1.259,3.062,0.0,0.0,1.405,455.368,0.206,0
1.955,-1.253,3.097,0.0,0.0,1.342,455.375,0.206,0
1.903,-1.242,-3.12,0.0,0.0,1.317,455.384,0.206,0
1.872,-1.229,-3.073,0.0,0.0,1.265,455.427,0.206,0
1.867,-1.223,-3.053,0.0,0.0,1.302,455.432,0.206,0
1.85,-1.21,-3.028,0.0,0.0,1.214,455.417,0.206,0
1.831,-1.205,-2.996,0.0,0.0,1.258,455.493,0.206,0
1.812,-1.196,-2.971,0.0,0.0,1.243,455.484,0.206,0
1.797,-1.192,-2.954,0.0,0.0,1.276,455.532,0.206,0
1.779,-1.182,-2.926,0.0,0.0,1.232,455.564,0.206,0
1.76,-1.173,-2.9,0.0,0.0,1.261,455.589,0.206,0
1.752,-1.165,-2.889,0.0,0.0,1.209,455.593,0.206,0
1.742,-1.157,-2.874,0.0,0.0,1.275,455.583,0.206,0
1.733,-1.15,-2.859,0.0,0.0,1.245,455.584,0.206,0
1.727,-1.144,-2.852,0.0,0.0,1.349,455.594,0.206,0
1.726,-1.14,-2.85,0.0,0.0,1.282,455.61,0.206,0
1.725,-1.13,-2.855,0.0,0.0,1.279,455.614,0.206,0
1.723,-1.116,-2.859,0.0,0.0,1.328,455.612,0.206,0
1.719,-1.111,-2.854,0.0,0.0,1.273,455.599,0.206,0
1.715,-1.098,-2.852,0.0,0.0,1.273,455.641,0.206,0
1.712,-1.08,-2.852,0.0,0.0,1.241,455.645,0.206,0
1.698,-1.041,-2.865,0.0,0.0,1.27,455.65,0.206,0
1.69,-0.988,-2.9,0.0,0.0,1.234,455.64,0.206,0
1.68,-0.957,-2.925,0.0,0.0,1.346,455.611,0.206,0
1.67,-0.921,-2.95,0.0,0.0,1.265,455.614,0.196,0
1.648,-0.9,-2.967,0.0,0.0,1.349,455.62,0.206,0
1.639,-0.876,-2.978,0.0,0.0,1.295,455.643,0.206,0
1.626,-0.844,-2.998,0.0,0.0,1.248,455.636,0.206,0
1.61,-0.824,-3.01,0.0,0.0,1.294,455.601,0.206,0
1.597,-0.793,-3.024,0.0,0.0,1.275,455.601,0.206,0
1.587,-0.763,-3.04,0.0,0.0,1.39,455.589,0.206,0
1.583,-0.741,-3.057,0.0,0.0,1.325,455.582,0.206,0
1.576,-0.705,-3.069,0.0,0.0,1.312,455.623,0.206,0
1.575,-0.688,-3.089,0.0,0.0,1.238,455.66,0.206,0
1.552,-0.656,-3.107,0.0,0.0,1.283,455.696,0.206,0
1.472,-0.606,-3.115,0.0,0.0,1.428,455.726,0.206,0
1.37,-0.529,-3.129,0.0,0.0,1.25,455.724,0.206,0
1.297,-0.494,-3.114,0.0,0.0,1.37,455.723,0.206,0
1.219,-0.445,-3.109,0.0,0.0,1.265,455.72,0.206,0
1.16,-0.4,-3.122,0.0,0.0,1.361,455.747,0.206,0
1.137,-0.368,-3.132,0.0,0.0,1.181,455.75,0.206,0
1.085,-0.33,3.11,0.0,0.0,1.291,455.774,0.206,0
1.042,-0.295,3.1,0.0,0.0,1.23,455.755,0.206,0
1.025,-0.275,3.105,0.0,0.0,1.395,455.733,0.206,0
1.035,-0.264,3.11,0.0,0.0,1.315,455.741,0.206,0
1.035,-0.261,3.116,0.0,0.0,1.33,455.714,0.217,0
1.042,-0.257,3.121,0.0,0.0,1.36,455.71,0.206,0
1.05,-0.264,3.128,0.0,0.0,1.308,455.747,0.206,0
1.057,-0.264,-3.128,0.0,0.0,1.248,455.73,0.206,0
1.039,-0.264,-3.109,0.0,0.0,1.347,455.767,0.206,0
1.092,-0.281,-3.061,0.0,0.0,1.093,455.752,0.206,0
1.179,-0.342,-2.951,0.0,0.0,1.161,455.772,0.206,0
1.198,-0.416,-2.852,0.0,0.0,1.449,455.755,0.206,0
1.269,-0.495,-2.732,0.0,0.0,1.297,455.727,0.206,0
1.42,-0.626,-2.623,0.0,0.0,1.179,455.739,0.206,0
1.61,-0.798,-2.651,0.0,0.0,1.468,455.731,0.206,0
1.702,-0.94,-2.619,0.0,0.0,1.455,455.679,0.206,0
1.689,-0.9,-2.58,0.0,0.0,2.109,455.605,0.206,0
1.515,-0.872,-2.537,0.0,0.0,1.537,455.626,0.206,0
1.414,-0.821,-2.621,0.0,0.0,1.363,455.623,0.206,0
1.412,-0.82,-2.613,0.0,0.0,1.298,455.626,0.206,0
1.36,-0.813,-2.587,0.0,0.0,1.312,455.62,0.206,0
1.346,-0.812,-2.582,0.0,0.0,1.263,455.631,0.206,0
1.348,-0.81,-2.585,0.0,0.0,1.263,455.643,0.206,0
1.349,-0.809,-2.588,0.0,0.0,1.298,455.61,0.206,0
